airline,name,shortName,callSign,country,airlineUrl,phone
LMU|Almasria Universal Airlines|AlMasria Universal Airlines|ALMASRIA||https://www.almasriaairlines.com/|
LMX|Aerolineas Mexicanas J.s., S.A. de C.V.|Aerolineas Mexicanas J.s. de C.V.|Lineas Mexicanas|||
LNC|Lan Dominicana|Lan Dominicana||||
LND|Skargardsflyg Ab, Finland|Skargardsflyg Ab, Finland|Aaland|||
LNE|LAN Ecuador||AEROLANE|Ecuador||
LNG|Lockheed Martin Aeronautics Company|Lockheed Martin|Lightning|United States||
LNH|Lanhsa Airlines|Lanhsa||Honduras|https://www.lanhsahn.com/|+504 2441 3226
LNI|Lion Airlines/Lion Mentari Air|Lion Air||Indonesia||
LNK|South African Airlink|South African Airlink|Link|||
LNM|Liaoning Meridian Jet Co., Ltd.|Liaoning Meridian Jet|Air Ring|China||
LNQ|Linksair|||United Kingdom||
LNR|Sky Liners Air Services Ltd.|Sky Liners|Linerservice|||
LNS|Lionair|Lionair|Sri-Lion|||
LNT|Aerolineas Internacionales, S.A. de C.V.|Aerolineas Internacionales de C.V.|Lineaint|||
LNX|London Executive Aviation Ltd|London Executive Aviation Ltd|Lonex|United Kingdom|http://www.flylea.com/|+44 1708 688 420
LNZ|Litag KG|Litag KG|Linz|||
LOA|Sukhumi Airways|Sukhumi Airways|Loreksi|||
LOC|Locair|Locair|Locair|United States||
LOD|Malmoe Air Taxi AB|Malmoe Air Taxi AB|Logic|||
LOE|Loeser, Luftfahrtgesellschaft Mbh, Egelsbach|Loeser, Luftfahrtgesellschaft Mbh, Egelsbach|Loeser|||
LOF|Trans States Airlines, Inc.|Trans States|Waterski|United States|http://www.transstates.net/|
LOG|Loganair Limited|Loganair|Logan|United Kingdom||
LOL|L.o.s. Ltd|L.o.s. Ltd|Lola|||
LOP|Linton-On-Ouse FTU|Linton-On-Ouse FTU|Linton On Ouse|||
LOS|Lossiemouth Ftu|Lossiemouth Ftu|Lossie|||
LOT|Lot - Polskie Linie Lotnicze|Lot - Polskie Linie Lotnicze|Pollot|Poland|http://www.lot.com/|+1-800-223-0593
LOV|London Flight Centre|London Flight Centre|Loveair|||
LOY|Loyd's Aviation Group Ltd|Loyd's Aviation Group Ltd|Loyds|||
LPA|Air Leap|Air Leap|Leap|Sweden|https://www.airleap.se|
LPE|LAN Peru||LAN Peru|Peru|http://www.lan.com/en_us/index.html|+1-800-526-7378
LPL|Lease-A-Plane International|Lease-A-Plane International|Lease-A-Plane|||
LRA|Little Red Air Service|Little Red Air Service|Little Red|Canada||
LRB|L R Airlines Ltd|L R  Ltd|Lady Racine|||
LRC|Lineas Aereas Costarricenses, S.A. (LACSA)|Lineas Aereas Costarricenses (LACSA)|Lacsa|Costa Rica||
LRD|Laredo Air|Laredo Air|Laredo Air|||
LRE|Lasare Airline|Lasare Airline|Aero Lasare|||
LRK|Skyjet Aviation Services Limited|SkyJet Aviation|Skylark|Nigeria||
LRO|Alrosa Avia, Joint-Stock Company|Alrosa Avia, Joint-Stock Company|Alrosa|||
LRQ|Luxembourg Air Ambulance S.A.|Luxembourg Air Ambulance|Lux Rescue|Luxembourg||
LRS|Servicios Areos Nacionales S.A.|SANSA Airlines|SANSA|Costa Rica||
LRT|Liberty Jet Management|Liberty Jet|LIBERTY JET|United States|http://www.libertyjet.com|
LSA|Leader S.r.l.|Leader S.R.L.|Internacional|||
LSB|Lensibavia|Lensibavia|Lensibavia|||
LSF|Airailes|Airailes|Eole|||
LSK|Aurela|Aurela|Aurela|||
LSO|Lone Star Communications|Lone Star Communications|Starcom|United States||
LSP|Spectrum Aviation Incorporated|Spectrum Aviation Incorporated|Air Tony|||
LSR|Alsair, Societe|Alsair, Societe|Alsair|||
LSS|Lone Star Airlines|Lone Star|Lone Star|||
LST|Long-Star Ltd|Long-Star Ltd|Long Jet|||
LSU|Laus|Laus|Laus Air|||
LSV|Alak|Alak|Alasov|||
LSY|Lindsay Aviation, Inc.|Lindsay|Lindsay Air|||
LTA|LIFT Training Academy||LIFT|United States||
LTB|Baltic Express Line|Baltic Express Line|Sky Bel|||
LTC|Latcharter|Latcharter|Latcharter|||
LTD|Southern Airways Express|Southern Airways Express|LightSpeed|United States|http://www.iflysouthern.com|901-672-7820
LTE|L T E International Airways S.A.|LTE International Airways|Fun Jet|||
LTF|Lufttaxi Fluggesellschaft Mbh, Dortmund|Lufttaxi Fluggesellschaft Mbh, Dortmund|Garfield|||
LTG|Aerolinhas Brasileiras S.A.|LATAM Cargo Brasil|Tamcargo|Brazil||
LTH|Stealth Aviation Limited|Stealth Aviation Limited|Stealth|||
LTI|Aerotaxis Latinoamericanos, S.A. de C.V.|Aerotaxis Latinoamericanos de C.V.|Latino|||
LTL|Latvian Airlines|Latvian|Latavio|||
LTM|Latinoamerican Airline|Latinoamerican Airline|Latamerica|||
LTN|Aerolineas Latinas, C.a.|Aerolineas Latinas, C.a.|Latinas|||
LTP|Latpass|Latpass|Latpass|||
LTR|Lufttransport A/s|Lufttransport|Luft Transport|Norway||
LTS|Ltu Lufttransport Unternehmen Sud GMBH Co, Munchen|Ltu Lufttransport Unternehmen Sud GMBH Co, Munchen|Lts|||
LTT|Airsprint Inc.|Airsprint|Elite|Canada||
LTU|LTU Lufttransport-Unternehmen GmbH (Dusseldorf)|Lufttransport-Unternehmen|LTU|Germany|http://www.ltu.de/docs/us/|+1-866-266-5588
LTW|Luchtvaartmaatschappij Twente, N.v.|Luchtvaartmaatschappij Twente, N.v.|Twentair|||
LTX|Leo Taxi Aereo, S.A. de C.V.|Leo Taxi Aereo de C.V.|Leo Taxi|||
LTZ|Lotos Air Ltd|Lotos Air|Lotos Air|||
LUC|Albinati Aeronautics|Albinati Aero|ALBINATI|Switzerland|http://albinati.aero|+44 22 306 1060
LUP|Lupenga Air Charters|Lupenga Air Charters|Lupenga|||
LUR|Atlantis European Airways|Atlantis European Airways||Romania|http://atlantis.am/atlantis-european-airways/|
LUV|Luxembourg Air Rescue A.s.b.l.|Luxembourg Air Rescue A.s.b.l.|Lux Rescue|||
LUX|Lincoln Airlines, Inc.|Lincoln|Freebird|United States||
LVI|Aerolineas Salvi, S.A. de C.V.|Aerolineas Salvi de C.V.|Salvi|||
LVN|Aliven|Aliven|Aliven|||
LVR|Aviavilsa|Aviavilsa|Aviavilsa|||
LVS|Insignia Aviacion, S.A. de C.V.|Insignia Aviacion|Signia|Mexico||
LVW|Pacific Sky Aviation Inc.|Pacific Skies Aviation|Longview|Canada||
LWA|Liberian World Airlines Inc.|Libyan Wings|LIBYAN WINGS|Libya|http://libyanwings.ly/|
LWD|Leisure Air|Leisure Air|Leisure World|||
LWG|Luxwing|||Malta||
LWI|Lumiwings|Lumiwings|Lumi|Greece||
LXA|Luxaviation S.A.|Luxaviation S.A.|Red Lion|||
LXF|Lynx Air International|Lynx Air|Lynx Flight|||
LXG|Air Luxor|luxaviation|Lux Aviation|Germany|https://www.luxaviation.com/en/|
LXJ|Flexjet||FLEXJET|United States||
LXL|Air Wings|Air Wings|Luxliner|||
LXP|LAN Express||LANEX|Chile||
LXR|Sky Prime Malta|Sky Prime Malta|Sky Luxury|Malta||
LYC|Lynden Air Cargo Llc|Lynden Air Cargo Llc|Lynden|United States|http://www.lac.lynden.com/lac/|
LYD|Lyddair Limited|Lyddair|Lyddair|United States||
LYF|Lithuanian Air Force Safety Department|Lithuanian Air Force|Lithuanian Airforce|Lithuania||
LYM|Key Lime Air|Key Lime Air|Key Lime|||
LYN|Lynton Aviation|Lynton|Lynton|||
LZB|Bulgaria Air|Bulgaria Air|FLYING BULGARIA|Bulgaria||
LZR|Air Lazur|||Bulgaria||
MAA|Aerotransportes Mas de Carga S.A. de C.V.|Mas Air|Mas Carga|Mexico||
MAB|Millardair Limited|Millardair Limited|Millardair|Canada||
MAC|Air Arabia Maroc||NAWRAS|Morocco||
MAD|Maple Air Services Ltd.|Maple Air Services|Maple Air|Canada||
MAE|Maersk Commuter I/s|Maersk Commuter I/s|Maerskcommuter|||
MAF|Aerolineas Mas|Aerolineas Mas|Aeromas|Dominican Republic|http://www.aerolineasmas.com/|809-532-1867
MAG|Air Margarita|Air Margarita|Agata|||
MAI|Mauritania Airlines|Mauritania|Mauritania|Mauritania|http://www.mauritaniaairlines.mr/|
MAJ|Majestic Airlines, Inc.|Majestic|Magic Air|||
MAL|Morningstar Air Inc.|Morningstar Air|Morningstar|Canada||
MAM|Aerodromo de la Mancha S.L.|Aerodromo de la Mancha S.L.|Aeroman|||
MAN|Mannion Air Charter, Inc.|Mannion Air Charter|Mannion|||
MAO|Matair Ltd|Matair Ltd|Matair|||
MAPR|Geomni, Inc.|Geomni|Mapper|United States||
MAQ|Mac Aviation, S.l.|Mac Aviation, S.l.|Mac Aviation|||
MAR|Air Mediterranean S.A.|Air Mediterranean|Hellasmed|Greece||
MAS|Malaysian Airline System|Malaysia Airlines|Malaysian|Malaysia|http://www.malaysiaairlines.com/|+1-800-552-9264
MAT|Maine Aviation Corporation|Maine Aviation|Maine-AV|||
MAU|Air Mauritius Limited|Air Mauritius|Airmauritius|Mauritius|http://www.airmauritius.com/|+1-800-537-1182
MAV|Manta Aviation Pvt. Ltd.|Manta Air|Sea Wing|Maldives||
MAW|Mustique Airways|Mustique|Mustique|||
MAX|Max-aviation|Max-aviation|Max Aviation|Canada||
MAY|Malta Air Ltd.|Malta Air|Blue Med|Malta||
MAZ|Mines Air Services Zambia Limited|Mines Air Services Zambia Limited|Mines|Zambia||
MBA|Automobilvertriebs Aktiengesellschaft|Automobilvertriebs Aktiengesellschaft|Avag Air|||
MBB|Air Manas|Air Manas|Air Manas||http://www.airmanas.com/|
MBE|Martin-Baker Ltd.|Martin-Baker Ltd.|Martin|||
MBG|Zephyr Aviation Ltd.|Zephyr Aviation|Chalgrove|United Kingdom||
MBK|Chrono Aviation|Chrono Aviation|Matblack|Canada||
MBL|First City Air Plc|First City Air Plc|First City|||
MBO|Mobil Oil Ltd.|Mobil Oil Ltd.|Mobil|Canada||
MBR|Brazilian Navy Aviation|Brazilian Navy Aviation|Brazilian Navy|||
MBS|Mbachi Air/ground Services Limited|Mbachi Air/ground Services Limited|Mbachi Air|||
MBT|Vias Aereas Manabitas Cia Ltda.|Vias Aereas Manabitas Cia Ltda.|Manabitas|||
MCA|Midcontinent Airlines, Inc.|Midcontinent Airlines|Heartland|||
MCB|Tbilisi State Aviation Corporation|Tbilisi State Aviation|Tskhadaya|||
MCC|Aerocom, Moldova|Aerocom, Moldova||||
MCD|Air Medical Ltd|Air Medical Ltd|Air Med|||
MCE|Marshall Of Cambridge|Marshall Of Cambridge|Marshall|||
MCF|M.a.c. Fotografica|M.a.c. Fotografica|Mac Foto|||
MCG|Sos Helikoptern Gotland AB|Sos Helikoptern Gotland AB|Medicopter|||
MCH|Mcalpine Helicopters Ltd.|Mcalpine Helicopters Ltd.|Macline|||
MCI|Maya Carga Internacional, S.A. de C.V.|Maya Carga Internacional de C.V.|Mayacarga|||
MCK|Macair|Macair||Australia||
MCL|Medical Aviation Services Ltd|Medical Aviation Services Ltd|Medic|||
MCM|Heli-AirMmonaco|Heli-AirMmonaco|Heli Air|||
MCN|Mac Dan Aviation Corporation|Mac Dan Aviation|Mac Dan|||
MCO|Aerolineas Marcos, S.A. de C.V.|Aerolineas Marcos de C.V.|Marcos|||
MCS|Macedonian Airlines|Macedonian Airlines|Macair|||
MDA|Mandarin Airlines|Mandarin|Mandarin|||
MDC|Atlantic Aero, Inc. D/B/A Atlantic Aero And Mid Atlantic Freight|Atlantic Aero D/B/A Atlantic Aero And Mid Atlantic Freight|Night Ship|United States||
MDD|Mda Airlines, Joint-Stock Company|Mda Airlines|Donlines|||
MDE|Mauritanienne de Transport Aerien|Mauritanienne de Transport Aerien|Mauri-Trans|||
MDF|Swiftair Hellas S.A.|Swiftair Hellas|Med-Freight|Greece||
MDG|Air Madagascar, Societe Nationale Malgache de Transports Aeriens|Air Madagascar, Societe Nationale Malgache de Transports Aeriens|Air Madagascar|Madagascar|http://www.airmadagascar.com/|+1-800-821-3388
MDI|Md Airlines, Ltd|Md Airlines|Delta Ice|||
MDJ|Jaro International S.a.|Jaro International S.a.|Jaro International|||
MDK|Medic Air|Medic Air|Air Doc|||
MDKT|Middle Georgia State College|Middle Georgia State University|MidKnight||http://www.mga.edu|
MDM|Mediterranean Aviation Company Ltd.|Medavia|Medavia|Malta||
MDN|Universair|Universair|Meridiana Air|||
MDO|Mediterranean Aviation Operations Company Ltd|Mediterranean Aviation Operations|Kuda|Malta||
MDR|Compania Mexicana de Aeroplanos, S.A.|Compania Mexicana de Aeroplanos|Aeroplanos|||
MDS|Mcneely Charter Service, Inc.|Mcneely Charter Service|Midsouth|||
MDT|Sundt Air|||Norway||
MDV|Moldavian Airlines|Moldavian Airlines|Moldavian|||
MDX|Aerosud Charter|Aerosud Charter|Medair|||
MEA|Middle East Airlines - Air Liban||Cedar Jet|||
MEC|Mercury Aircourier Service|Mercury Aircourier Service|Mercair|United States||
MED|Ontario Ministry Of Health|Ontario Ministry Of Health|Medical|Canada||
MEE|Elimediterranea Srl|Elimediterranea Srl|Elimediterranea|||
MEG|Megamicro Rt.|Megamicro|Megamicro|||
MEI|Merlin Express, Inc.|Merlin Express|Avalon|||
MEJ|Medjet International, Inc.|Medjet International|Medjet|United States||
MEK|Med-Trans Of Florida, Inc.|Med-Trans Of Florida|Med-Trans|||
MEL|Bae Civil Division Warton|Bae Civil Division Warton|Minstrel|||
MEM|Mediterranean Air Ambulance S.l.|Mediterranean Air Ambulance|Meditair|||
MEN|Minskavia|Minskavia|Minsk|||
MEP|Midwest Airlines|Midwest Airlines|Midex|United States|http://www.midwestairlines.com/|+1-800-452-2022
MER|Methow Aviation, Inc.|Methow Aviation|Methow|||
MET|Meteorological Research Flight|Meteorological Research Flight|Metman|||
MEV|Med-View Airline||MED-VIEW|Nigeria|http://www.medviewairline.com/|
MEX|Metro Express Ii, Inc.|Metro Express Ii|Eagle Express|||
MFA|Martyn Fiddler Associates|Martyn Fiddler Associates|Seahorse|||
MFB|Mountain Flyers 80 Ltd|Mountainflyers|Moutainheli|Switzerland||
MFC|Moncton Flying Club|Moncton Flying Club|East Wind|Canada||
MFD|Monarch Air Group LLC|Monarch Air|FREIGHT DOG|United States||
MFS|Miller Flying Services, Inc.|Miller Flying Services|Miller Time|||
MFZ|Mofaz Air|Mofaz Air|Mofaz Air|||
MGA|M G Aviacion S.l.|M G Aviacion S.l.|Mag Aviacion|||
MGC|Magec Aviation Limited|Magec Aviation Limited|Magec|||
MGD|Miami Air Lease|Miami Air Lease|Miami Air|United States|http://miamiairlease.com/|
MGE|Aero-Micronesia, Inc. D/B/A Asia Pacific Airlines|Aero-Micronesia|Magellan|United States|http://www.flyapa.com/|
MGG|Magadanaerogruz|Magadanaerogruz|Magaero|||
MGL|Mongolian Airlines|Mongolian|Mongol Air||http://www.miat.com/|+1-800-642-8768
MGM|Marie Galante Aviation|Marie Galante Aviation|Marie Galante|||
MGN|Morgan Aviation Services Ltd.|Morgan Aviation Services Ltd.|Morgan Air|||
MGO|Punto Fa, S.L.|Mango|Mango|Spain||
MGP|Arirang Aviation Limited|Arirang Aviation|Magpie|Bangladesh||
MGR|Magna Air Ges.m.b.h.|Magna Air Ges.m.b.h.|Magna Air|||
MGW|Mongolian Airways Cargo LLC|Mongolian Airways Cargo|Great Mongolian|Mongolia||
MGX|Montenegro Airlines|Montenegro Airlines|Montair|||
MHA|Mountain High Aviation|Mountain High Aviation|Mountain High|||
MHK|Al Naser Wings Airlines|Al Naser Wings|AL-NASER|Iraq|https://www.alnaserwings.com/core/en/|
MHN|Manhattan Air Limited|Manhattan Air Limited|Manhattan|||
MHO|Mokulele Airlines|Mokulele|Mahalo|United States|http://www.mokuleleairlines.com|1-866-260-7070
MHS|Air Memphis|Air Memphis|Air Mempis|Egypt||
MHV|MHS Aviation GmbH|MHS Aviation|Snowcap|Germany||
MIA|Mauria, Societe Mauritanienne D'aviation|Mauria, Societe Mauritanienne D'aviation|Mauria|||
MIC|Aerolineas de Michoacan|Aerolineas de Michoacan|Michoacan|||
MIE|Aero Premier de Mexico, S.A. de C.V.|Aero Premier de Mexico de C.V.|Aeropremier|||
MIK|Meerblick, S.A.|Meerblick|Meerblick|||
MIM|Mimino|Mimino|Mimino|||
MIN|Business European Airways Ltd|Business European Airways|Minster|||
MIO|Midas Airlines, C.a.|Midas Airlines|Mico|||
MIR|Miramichi Air Service Ltd.|Miramichi Air Service|Miramichi|Canada||
MIS|Midstate Airlines, Inc.|Midstate|Midstate|||
MIT|Flight Line, Inc.|Flight Line|Matco|||
MIV|Mi-Avia|Mi-Avia|Miavia|||
MIW|Airborne Of Sweden AB|Airborne Of Sweden AB|Midwing|||
MIX|Masisavia|Masisavia|Masis|||
MIZ|Desarrollo Milaz, S.A. de C.V.|Desarrollo Milaz de C.V.|Milaz|||
MJC|Majestic Air|Majestic Air|Zimbird|||
MJE|Empire Aviation Group|Empire Aviation||United Arab Emirates||
MJF|Mjet GmbH|Mjet|Em-Express|Austria||
MJI|Majestic Jet, Inc.||Majestic Jet||http://majesticjet.com|
MJM|Eti 2000|Eti 2000|Elco Eti|||
MJN|Royal Air Force Of Oman|Royal Air Force Of Oman|Majan|||
MJR|Midamerica Jet, Inc.|Midamerica Jet|Major|United States||
MJS|Aircharters Worldwide Inc. (Ft. Lauderdale, FL)|Aircharters Worldwide|Jet Saver|United States||
MJT|Mex-Jet, S.A. de C.V.|Mex-Jet de C.V.|Mejets|||
MKA|MK Airlines|MK||United Kingdom||
MKI|Mk Flugfelagid Ehf|Mk Flugfelagid Ehf|Kilo Ice|||
MKK|Malaya Aviatsia Dona|Malaya Aviatsia Dona|Aerokey|||
MKL|McCall Aviation||MCCALL|United States||
MKN|Mekong Airlines|Mekong Airlines||Cambodia||
MKO|Makung Airlines|Makung Airlines|Makung|||
MKP|Adygeya-Avia, Joint-Stock Company|Adygeya-Avia|Adygeya|||
MKR|Lanmei Airlines (Cambodia) Co., Ltd|Lanmei Airlines (Cambodia)|AIR LANME|Cambodia|http://lanmeiairlines.com/|+855 23981363
MKS|Pimichikamac Air Ltd|Pimichikamac Air Ltd|Mikisew|Canada||
MKV|Michkov Air Services|Michkov Air Services|Luber|||
MKY|Monky Aerotaxis, S.A.|Monky Aerotaxis|Monky|||
MLA|Forty-Mile Air|Forty-Mile Air|Mile-Air|United States|http://www.fortymileair.com/|
MLD|Air Moldova|Air Moldova|Air Moldova|||
MLE|Moldaeroservice|Moldaeroservice|Moldaero|||
MLF|Amal Airlines|Amal|Amal|||
MLH|Avion Express Malta Ltd.|Avion Express Malta|South Wind|Malta||
MLI|Air Mali S.A.|Air Mali|Air Mali|||
MLL|Aeroclub de Mallorca|Aeroclub de Mallorca|Mallorca|||
MLM|Comlux Malta|||||
MLN|Corporate Air, LLC|Corporate Air|Millennium|United States||
MLP|Asia Pacific Airlines|Asia Pacific Airlines|Malay Pacific|||
MLS|Mall Airways Inc.|Mall Airways|Mall-Airways|United States||
MLT|Maleth Aero AOC Ltd|Maleth Aero|Maleth|Malta||
MLV|Air Moldova International, S.A.|Air Moldova International|Moldova International|||
MLZ|Magadanavialising, Joint-Stock Company|Magadanavialising, Joint-Stock Company|Magalease|||
MMA|Myanmar Airways International|MAI|MYANMAR||http://www.maiair.com/|
MMC|Aermarche|Aermarche|Aermarche|||
MMD|Air Alsie A/s|Air Alsie A/s|Mermaid|Denmark||
MMH|Mikromatika Air Cargo Ltd.|Mikromatika Air Cargo Ltd.|Mikromatika|||
MMI|Marina Militare Italiana|Italian Navy|Italian Navy|Italy||
MML|Hunnu Air|Hunnu Air|TRANS MONGOLIA|Mongolia|https://www.hunnuair.com/|
MMM|Meridian Air Company|Meridian Air Company|Aviameridian|Russian Federation||
MMN|PRO AIRWAYS, LLC|Pro Airways|MINUTEMAN|United States||
MMP|Amp Incorporated|Amp Incorporated|Amp-Inc|||
MMY|Iasco Flight Training||Marmot|United States||
MMZ|Euroatlantic Airways|Euroatlantic Airways||Portugal||
MNB|Mng Havayollari Ve Tasimacilik A.s.|MNG Airlines|Black Sea|Turkey|http://www.mngairlines.com/ENG/Homepage.aspx|
MNC|M I T Airlines Ltd.|MIT Airlines|Muncie|Canada||
MND|Madina|Madina|Air Madina|||
MNE|Aerolineas Amanecer, S.A. de C.V.|Aerolineas Amanecer de C.V.|Aeroamanecer|||
MNG|Aero Mongolia|Aero Mongolia|Aero Mongolia|Mongolia||
MNH|Monarch Airlines|Monarch Airlines|Monarch Air|||
MNI|Maina Air Limited|Maina Air Limited|Maina Air|||
MNK|Murmansk Airlines|Murmansk|Arctica Air|||
MNL|Miniliner Srl|Miniliner Srl|Miniliner|||
MNM|Aldi|Aldi|Nino|||
MNO|Mango Airlines|Mango Airlines|TULCA|South Africa|http://flymango.com/|
MNR|Monara Air|Monara Air|Monara Air|||
MNS|Ministic Air|Ministic Air|Ministic|Canada||
MNT|Montserrat Airways Ltd.|Montserrat Airways|Montserrat|Montserrat|http://www.flymontserrat.com/|
MNU|Elite Airways||MAINER|United States|http://pwm.eliteairways.net|8773932510
MNV|Mauritanienne Aerienne Et Navale|Mauritanienne Aerienne Et Navale|Navale|||
MNX|Manx Airlines Ltd.|Manx|Manx|||
MNY|Mooney Aircraft Co.|Mooney Aircraft Co.|Mooney Flight|||
MOA|Air Moravia Czech Charter Airline Ltd|Air Moravia Czech Charter Airline Ltd|Moras|||
MOD|Modiluft|Modiluft|Modiluft|||
MOE|Mostarez Air|Mostarez Air|Most Air|||
MOG|Mogilevavia|Mogilevavia|Mogilev|||
MOR|Morefly A/s|Morefly A/s|Morefly|||
MOT|Aeromonterrey S.A.|Aeromonterrey S.A.|Aeromonterrey|||
MOU|Anglo American Airmotive Ltd|Anglo American Airmotive|Blackadder|||
MOV|VIM Avia|VIM Airlines|MOV Air|Russian Federation|http://www.vim-avia.com/|
MOW|Mohawk Airlines|Mohawk Airlines|Mohawk Air|||
MOZ|SalzburgJetAviation GmbH|Salzburg Jet Aviation|Mozart|Austria||
MPA|Mid-Pacific Airlines, Inc.|Mid-Pacific|Mid Pac|||
MPC|Mountain Pacific Air Ltd|Mountain Pacific Air Ltd|Mountain Pacific|Canada||
MPD|Air Comet|Air Comet|Red Comet|Spain||
MPE|Canadian North Airlines|Canadian North Airlines|Empress|Canada||
MPH|Martinair Holland N.V.|Martinair Holland N.V.|Martinair|Netherlands|http://www.martinair.com/|+1-800-627-8462
MPS|Metropolis Noord|Metropolis Noord||Netherlands||
MQT|Air ITM|Air ITM|Musketeer|France||
MRA|Martinaire|Martinaire|Martex|||
MRC|MARTIN COMPANIES|Martin Companies|MARTRANS|United States||
MRD|Meridian Air Cargo, Inc.|Meridian Air Cargo|Meridian|||
MRE|Namibia Commercial Aviation|Namibia Commercial Aviation|Med Rescue|||
MRF|Mauritanienne Air Fret|Mauritanienne Air Fret|Maur-Fret|||
MRG|Manag'air|Manag'air|Manag'air|||
MRH|Marham Ftu|Marham Ftu|Marham|||
MRI|Servicios Aereos Moritani, S.A. de C.V.|Servicios Aereos Moritani de C.V.|Moritani|||
MRJ|Meraj Airlines|Meraj Airlines|MERAJ|Iran|http://meraj.aero/en/|
MRK|Markair Inc.|Markair|Markair|||
MRL|Aeromorelos S.A. de C.V.|Aeromorelos S.A. de C.V.|Aeromorelos|||
MRM|Aerocharter Inc.|Aerocharter|Maritime|Canada||
MRN|Missions Gouvernementales Francaises|Missions Gouvernementales Francaises|Marianne|||
MRO|Morrison Flying Service, Inc.|Morrison Flying Service|Morrison|||
MRP|Abas|Abas|Abas|||
MRR|West Isle Air, Inc. D/B/A San Juan Airlines|West Isle Air|Mariner|||
MRS|Airline Of The Marshall Islands|Airline Of The Marshall Islands|Marshall Islands|||
MRV|Miravia Ltd|Miravia Ltd|Miravia|||
MRX|Hermen's Markair Express|Hermen's Markair Express|Speedmark|||
MRY|Murray Air, Inc.|Murray Air|Murray Cargo|||
MSA|Poste Air Cargo|Poste Air Cargo|Mistral Wings|Italy|https://www.poste.it/posteaircargo.html|
MSB|Air Stork|Air Stork|Long|Moldova||
MSC|Air Cairo|Air Cairo|Air Cairo|Egypt|http://www.flyaircairo.com/|
MSD|Atlantic Coast Aircraft Services|Atlantic Coast Aircraft Services|Moosehead|United States|http://atlanticcoast.aero/|
MSE|Mas Havacilik Ve Merkezi Pazarlama Tic. A.s.|Mas Havacilik Ve Merkezi Pazarlama Tic. A.s.|Airmas|||
MSF|Max Sea Food S.A. de C.V.|Max Sea Food S.A. de C.V.|Maxesa|||
MSG|Aviamost|Aviamost|Aviamost|||
MSH|U S Marshals Service, U.S. Department Of Justice|US Marshals Service|Marshalair|||
MSI|Motor Sich|Motor Sich|Motor Sich|Ukraine||
MSJ|Magnum Air Inc.|Skyjet|Magnum Air|Philippines||
MSK|Maersk Air Ltd|Maersk Air Ltd|Bluestar|||
MSP|Servicio de Vigilancia Aerea Del Ministerio de Seguridad Publica|Servicio de Vigilancia Aerea Del Ministerio de Seguridad Publica|Seguridad|||
MSQ|Meta - Mesquita Transportes Aereos Ltda|Meta - Mesquita Transportes Aereos Ltda|Meta|||
MSQT|AeroGuard Flight Training Center|AeroGuard Flight Training Center|Mesquite|United States|https://transpacacademy.com/|
MSR|Egypt Air|Egypt Air|Egyptair|Egypt||+1-800-334-6787
MSS|Morris Air Service|Morris Air Service|Wasatch|||
MST|Aeroamistad, S.A. de C.V.|Aeroamistad de C.V.|Amistad|||
MSV|Aero-Kamov, Affiliated Company|Aero-Kamov, Affiliated Company|Aerafkam|||
MSW|South-West-Avia|South-West-Avia|Moldwest|||
MSY|Massey University School Of Aviation|Massey University School Of Aviation|Massey|||
MTA|Mitchell Aero, Inc. D/B/A Gak/mitchell Aero, Inc.|Mitchell Aero|Gak Aviation|||
MTB|Aerotaxis Metropolitanos, S.A. de C.V.|Aerotaxis Metropolitanos de C.V.|Aerometropolis|||
MTD|MetroJets|MetroJets|Matador|United States||
MTF|Interjet|Interjet|Interjet|||
MTH|Massachusetts Institute Of Technology|Massachusetts Institute Of Technology|Research|||
MTI|Arturo Rodriguez Martinez|Arturo Rodriguez Martinez|Martinez|||
MTJ|Metrojet Limited|Metrojet Limited|Metrojet|China||
